Pos	Runs	Type	Name	ID	Conc	Pk Ht	Pk Area	Baseline	Message	Flag	Slope	Intercept	Mass(g) / Min	Vol(ml) / Max	Dilution Factor	SD	RSD	Cal	Method	Date/Time	Mass 2 (g)	Volume 2 (ml)	Unit
10	1	Sample	wash		0.021037	1.407142	33.801580	7.692859	----		46.608900	0.426647	1	1	1	----	----	D	Hg_ppb_gain10	20.03.2017 13:48:51	----	----	ppb
1	1	Cal	0.00	new cal	0.00	0.100001	-1.021505	7.799999	----		0.000000	0.000000	----	----	----	----	----	C1	Hg_ppb_gain10	20.03.2017 13:51:18	----	----	ppb
2	1	Cal	0.1		0.1	3.982928	135.681500	7.817072	----		38.829270	0.100001	----	----	----	----	----	C1	Hg_ppb_gain10	20.03.2017 13:53:45	----	----	ppb
3	1	Cal	0.5		0.5	20.725580	747.902000	7.774416	----		41.424150	-0.015327	----	----	----	----	----	C1	Hg_ppb_gain10	20.03.2017 13:56:13	----	----	ppb
4	1	Cal	1		1	39.209530	1472.335000	7.790474	----		39.295810	0.286187	----	----	----	----	----	C1	Hg_ppb_gain10	20.03.2017 13:58:42	----	----	ppb
5	1	Cal	2		2	84.692860	3062.412000	7.807142	----		42.085640	-0.559478	----	----	----	----	----	C1	Hg_ppb_gain10	20.03.2017 14:01:11	----	----	ppb
6	1	Cal	5		5	210.640000	7830.854000	7.859997	----		42.239040	-0.650809	----	----	----	----	----	C1	Hg_ppb_gain10	20.03.2017 14:03:41	----	----	ppb
10	1	Sample	wash		0.034953	0.825583	8.029146	7.974417	----		42.239040	-0.650809	1	1	1	----	----	C1	Hg_ppb_gain10	20.03.2017 14:06:13	----	----	ppb
1	1	Cal	0.00	new cal	0.00	0.058539	-3.738655	7.841461	----		0.000000	0.000000	----	----	----	----	----	C2	Hg_ppb_gain10	20.03.2017 14:08:50	----	----	ppb
2	1	Cal	0.1		0.1	4.407319	157.210300	7.792681	----		43.487800	0.058539	----	----	----	----	----	C2	Hg_ppb_gain10	20.03.2017 14:11:17	----	----	ppb
3	1	Cal	0.5		0.5	20.931820	769.273000	7.768181	----		41.622190	0.141455	----	----	----	----	----	C2	Hg_ppb_gain10	20.03.2017 14:13:45	----	----	ppb
4	1	Cal	1		1	42.147620	1531.850000	7.752381	----		41.993780	0.088815	----	----	----	----	----	C2	Hg_ppb_gain10	20.03.2017 14:16:13	----	----	ppb
5	1	Cal	2		2	84.119510	3091.988000	7.780487	----		42.014470	0.082543	----	----	----	----	----	C2	Hg_ppb_gain10	20.03.2017 14:18:42	----	----	ppb
6	1	Cal	5		5	215.402200	7849.238000	7.797776	----		43.058080	-0.538751	----	----	----	----	----	C2	Hg_ppb_gain10	20.03.2017 14:21:12	----	----	ppb
10	1	Sample	wash		0.033784	0.915912	9.147661	7.884088	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:23:44	----	----	ppb
21	1	Sample	2711a Ref		1.158232	49.332500	1777.846000	7.767501	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:26:13	----	----	ppb
11	1	Sample	Z10Hg1		1.327664	56.627910	2054.763000	7.772092	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:28:40	----	----	ppb
12	1	Sample	Z10Hg2		2.094125	89.630230	3281.080000	7.769767	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:31:07	----	----	ppb
13	1	Sample	Z10Hg3		1.459395	62.300000	2261.001000	7.799999	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:33:34	----	----	ppb
14	1	Sample	Z10Hg4		1.680310	71.812190	2545.602000	7.787805	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:36:01	----	----	ppb
15	1	Sample	Z10Hg5		1.225092	52.211360	1879.067000	7.788635	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:38:29	----	----	ppb
4	1	Sample	1 ppb		1.016348	43.223260	1515.001000	7.776743	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:40:58	----	----	ppb
16	1	Sample	Z10Hg6		0.944551	40.131820	1394.226000	7.768181	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:43:26	----	----	ppb
17	1	Sample	Z10Hg7		0.452404	18.940910	662.940600	7.759091	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:45:54	----	----	ppb
18	1	Sample	Z10Hg8		0.559669	23.559520	841.769700	7.740476	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:48:23	----	----	ppb
19	1	Sample	Z10Hg9		3.755374	161.160500	5854.900000	7.739536	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:50:52	----	----	ppb
20	1	Sample	Z10Hg10		0.195764	7.890478	282.565200	7.809522	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:53:22	----	----	ppb
4	1	Sample	1 ppb		0.987607	41.985720	1527.958000	7.714285	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:55:51	----	----	ppb
10	1	Sample	wash		0.016207	0.159091	-2.927920	7.740909	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 14:58:23	----	----	ppb
22	1	Sample	BrCl Blank		0.014782	0.097727	-0.553082	7.702273	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 15:00:53	----	----	ppb
23	1	Sample	Digestion Blank		0.014945	0.104761	1.549085	7.695239	----		43.058080	-0.538751	1	1	1	----	----	C2	Hg_ppb_gain10	20.03.2017 15:03:20	----	----	ppb
